MAP,日本市町村緯度経度,,
TIME,2020,10,10
TITLE,幼稚園数,[データの名前を入力します],
UNIT,数,[データの単位を入力します],
NOTE,資料：2021年国勢調査,[資料の名前を入力します。わからない場合は「資料：(調査年)年調査」とかでいいと思います],
東京都千代田区,12,,
東京都中央区,15,,
東京都港区,30,,
東京都新宿区,30,,
東京都文京区,27,,
東京都台東区,19,,
東京都墨田区,16,,
東京都江東区,32,,
東京都品川区,28,,
東京都目黒区,23,,
東京都大田区,48,,
東京都世田谷区,62,,
東京都渋谷区,21,,
東京都中野区,22,,
東京都杉並区,43,,
東京都豊島区,20,,
東京都北区,36,,
東京都荒川区,14,,
東京都板橋区,33,,
東京都練馬区,43,,
東京都足立区,52,,
東京都葛飾区,28,,
東京都江戸川区,39,,
東京都八王子市,31,,
東京都立川市,12,,
東京都武蔵野市,12,,
東京都三鷹市,17,,
東京都青梅市,6,,
東京都府中市,18,,
東京都昭島市,7,,
東京都調布市,14,,
東京都町田市,35,,
東京都小金井市,7,,
東京都小平市,15,,
東京都日野市,13,,
東京都東村山市,10,,
東京都国分寺市,4,,
東京都国立市,9,,
東京都福生市,4,,
東京都狛江市,3,,
東京都東大和市,3,,
東京都清瀬市,7,,
東京都東久留米市,7,,
東京都武蔵村山市,4,,
東京都多摩市,8,,
東京都稲城市,7,,
東京都羽村市,7,,
東京都あきる野市,6,,
東京都西東京市,13,,
東京都瑞穂町,3,,
東京都日の出町,1,,
東京都檜原村,0,,
東京都奥多摩町,0,,
東京都大島町,0,,
東京都利島村,0,,
東京都新島村,0,,
東京都神津島村,0,,
東京都三宅村,0,,
東京都御蔵島村,0,,
東京都八丈町,0,,
東京都青ヶ島村,0,,
東京都小笠原村,0,,
